Sucursal,Ubicaci�n,Comuna,Marca,Modelo,Versi�n,A�o,Kilometraje,Segmento,Transmision,Combustible,Placa Patente,Color Exterior,Precio Lista,Link,
AUTOSHOPPING,av. Departamental 4500,Macul,CITROEN,C3,C3 1.2 PURETECH 82 BVM SHINE CONNECTEDCAM MT,2019,52706,CityCar,Mecanico,Diesel,LBDP39,GRIS PLATINIUM BLANCO,9180000,www.pompeyo.cl/usados/LBDP39
SEMINUEVOS IRARRAZAVAL,Av Irarrazaval 1330 , �u�oa,HONDA,CIVIC,CIVIC  2.0 EXL AT,2022,39654,Sedan,Automatico,Gasolina,PZXX81,PLATEADO PLATA,17880000,www.pompeyo.cl/usados/PZXX81
SEMINUEVOS MAIPU,Camino a Melipilla 11585,Maipu,CHEVROLET,COLORADO,COLORADO 2.8 LS MT DIESEL,2022,81426,Camioneta,Mecanico,Diesel,RTHT62,BLANCO,18680000,www.pompeyo.cl/usados/RTHT62
AUTOSHOPPING,av. Departamental 4500,Macul,OPEL,COMBO,Combo Diesel 100HP MT,2025,840,Furgon,Mecanico,Diesel,VBXK15,BLANCO BLANC ICY,17180000,www.pompeyo.cl/usados/VBXK15
SEMINUEVOS GRAN AVENIDA,Gran Avenida 6771, San miguel,GEELY,COOLRAY,COOLRAY 1.5 SPORT 7DCT AT,2023,81703,Suv,Automatico,Gasolina,SGTV68,PLATEADO PLATA,12980000,www.pompeyo.cl/usados/SGTV68
AUTOSHOPPING,av. Departamental 4500,Macul,GEELY,COOLRAY,COOLRAY 1.5 COMFORT 7DCT AT,2023,44857,Suv,Automatico,Gasolina,SPRV73,GRIS,11980000,www.pompeyo.cl/usados/SPRV73
SEMINUEVOS PLAZA OESTE,Av. Am�rico Vespucio 2451,Cerrillos,GEELY,COOLRAY,COOLRAY 1.5 SPORT 7DCT AT,2023,26081,Suv,Automatico,Gasolina,SPWY98,PLATEADO PLATA,13780000,www.pompeyo.cl/usados/SPWY98
SEMINUEVOS BILBAO,Av. Francisco Bilbao 5318,Las condes,GEELY,COOLRAY,COOLRAY 1.5 COMFORT 7DCT AT,2024,46585,Suv,Automatico,Gasolina,TCFH17,ROJO,13280000,www.pompeyo.cl/usados/TCFH17
SEMINUEVOS BILBAO,Av. Francisco Bilbao 5318,Las condes,GEELY,COOLRAY,COOLRAY 1.5 AUT,2023,27498,Suv,Automatico,Gasolina,SLWK86,BLANCO,13980000,www.pompeyo.cl/usados/SLWK86
SEMINUEVOS MOVICENTER,Am�rico Vespucio Norte 1155,Huechuraba,GEELY,COOLRAY,COOLRAY 1.5 AUT,2023,42073,Suv,Automatico,Gasolina,SJRF44,BLANCO,12180000,www.pompeyo.cl/usados/SJRF44
SEMINUEVOS BILBAO,Av. Francisco Bilbao 5318,Las condes,DFSK,SUV 500,500 1.5 Comfort + LAM.,2023,45,Suv,Mecanico,Gasolina,STHW53,GRIS OSCURO,9180000,www.pompeyo.cl/usados/STHW53
SEMINUEVOS MAIPU,Camino a Melipilla 11585,Maipu,GEELY,COOLRAY,COOLRAY 1.5 EXCLUSIVE 7DCT AT,2023,46777,Suv,Automatico,Gasolina,SHCJ21,BLANCO,12880000,www.pompeyo.cl/usados/SHCJ21
AUTOSHOPPING,av. Departamental 4500,Macul,GEELY,COOLRAY,COOLRAY 1.5 EXCLUSIVE 7DCT AT,2022,34863,Suv,Automatico,Gasolina,SDKP81,BLANCO,12180000,www.pompeyo.cl/usados/SDKP81
SEMINUEVOS MOVICENTER,Am�rico Vespucio Norte 1155,Huechuraba,GEELY,COOLRAY,COOLRAY 1.5 COMFORT 7DCT AT,2024,18309,Suv,Automatico,Gasolina,TSJR78,AZUL,13280000,www.pompeyo.cl/usados/TSJR78
SEMINUEVOS IRARRAZAVAL,Av Irarrazaval 1330 , �u�oa,OPEL,CORSA,Corsa MCA Edition Gasolina 75HP MT,2025,13444,CityCar,Mecanico,Gasolina,TTFB57,ROJO PEPERONCINO,11780000,www.pompeyo.cl/usados/TTFB57
SEMINUEVOS PLAZA OESTE,Av. Am�rico Vespucio 2451,Cerrillos,OPEL,CORSA,Corsa MCA Edition Gasolina 75HP MT,2025,19683,CityCar,Mecanico,Gasolina,TTFB58,BLANCO BANQUISE,13580000,www.pompeyo.cl/usados/TTFB58
AUTOSHOPPING,av. Departamental 4500,Macul,OPEL,CORSA,Corsa MCA Edition Gasolina 100HP AT,2025,17569,CityCar,Automatico,Gasolina,TSWY44,ROJO PEPERONCINO,14480000,www.pompeyo.cl/usados/TSWY44
SEMINUEVOS PLAZA OESTE,Av. Am�rico Vespucio 2451,Cerrillos,OPEL,CORSA,CORSA GS LINE 1.2T AT8,2024,56506,CityCar,Automatico,Gasolina,TFCJ42,AZUL VOLTAIC BLUE MET,13580000,www.pompeyo.cl/usados/TFCJ42
SEMINUEVOS MOVICENTER,Am�rico Vespucio Norte 1155,Huechuraba,OPEL,CORSA,CORSA 4X2 1.2,2025,21367,CityCar,Mecanico,Gasolina,TZGB99,GRIS ALUMINIUM,12980000,www.pompeyo.cl/usados/TZGB99
SEMINUEVOS PLAZA OESTE,Av. Am�rico Vespucio 2451,Cerrillos,OPEL,CORSA,CORSA 1.2 EDITION AT,2024,17840,CityCar,Automatico,Gasolina,THJZ22,ROJO PEPERONCINO RED,13980000,www.pompeyo.cl/usados/THJZ22
SEMINUEVOS MOVICENTER,Am�rico Vespucio Norte 1155,Huechuraba,OPEL,CORSA,CORSA GS LINE 1.2T AT8,2024,59007,CityCar,Automatico,Gasolina,TGDY32,ROJO PEPERONCINO RED,13980000,www.pompeyo.cl/usados/TGDY32
SEMINUEVOS MOVICENTER,Am�rico Vespucio Norte 1155,Huechuraba,OPEL,CORSA,CORSA 1.2 EDITION AT,2025,13649,CityCar,Automatico,Gasolina,TVXS49,ROJO PEPERONCINO RED,14980000,www.pompeyo.cl/usados/TVXS49
SEMINUEVOS PLAZA OESTE,Av. Am�rico Vespucio 2451,Cerrillos,OPEL,CORSA,CORSA 1.2 EDITION AT,2024,40783,CityCar,Automatico,Gasolina,SZZL11,ROJO PEPERONCINO RED,13280000,www.pompeyo.cl/usados/SZZL11
SEMINUEVOS BILBAO,Av. Francisco Bilbao 5318,Las condes,OPEL,CORSA,CORSA HB 1.2 AUT,2022,47043,CityCar,Automatico,Gasolina,SCLG75,GRIS ALUMINIUM,10580000,www.pompeyo.cl/usados/SCLG75
SEMINUEVOS PLAZA OESTE,Av. Am�rico Vespucio 2451,Cerrillos,HYUNDAI,CRETA,CRETA 1.5 SU2I PLUS MT,2024,50794,Suv,Mecanico,Gasolina,TCRT56,PLATEADO PLATA,14880000,www.pompeyo.cl/usados/TCRT56
SEMINUEVOS PLAZA OESTE,Av. Am�rico Vespucio 2451,Cerrillos,OPEL,CROSSLAND,CROSSLAND EDITION 1.2T MT6,2024,29494,Suv,Mecanico,Gasolina,TJPV76,GRIS PLATINIUM,13380000,www.pompeyo.cl/usados/TJPV76
SEMINUEVOS GRAN AVENIDA,Gran Avenida 6771, San miguel,OPEL,CROSSLAND,CROSSLAND X ENJOY 1.2T AT,2019,75559,Suv,Automatico,Gasolina,LJSW23,ROJO,9180000,www.pompeyo.cl/usados/LJSW23
SEMINUEVOS PLAZA OESTE,Av. Am�rico Vespucio 2451,Cerrillos,CHANGAN,CS15,CS15 1.5 ELITE MT,2022,39489,Suv,Mecanico,Gasolina,RSFY97,PLATEADO PLATA,8580000,www.pompeyo.cl/usados/RSFY97
SEMINUEVOS BILBAO,Av. Francisco Bilbao 5318,Las condes,DS,DS 3,DS3 1.2 CROSSBACK PURETECH 155 OPERA AT,2022,49795,CityCar,Automatico,Diesel,RVSK42,AZUL,16980000,www.pompeyo.cl/usados/RVSK42
SEMINUEVOS IRARRAZAVAL,Av Irarrazaval 1330 , �u�oa,SUBARU,FORESTER,FORESTER 2.0 XS AWD CVT AT 5P,2023,58602,Suv,Automatico,Gasolina,SWRW41,PLATEADO HIELO CLARO,21180000,www.pompeyo.cl/usados/SWRW41
SEMINUEVOS MAIPU,Camino a Melipilla 11585,Maipu,SUBARU,FORESTER,FORESTER 2.0 AWD XS AT 4X4,2021,66406,Suv,Automatico,Gasolina,PJHL51,BLANCO CRISTAL PERLADO,19880000,www.pompeyo.cl/usados/PJHL51
SEMINUEVOS PLAZA OESTE,Av. Am�rico Vespucio 2451,Cerrillos,HYUNDAI,GRAND I10,GRAND I-10 1.2 AI3 HB PLUS MT,2023,63006,CityCar,Mecanico,Gasolina,SKSL13,GRIS GRAFITO,9080000,www.pompeyo.cl/usados/SKSL13
SEMINUEVOS GRAN AVENIDA,Gran Avenida 6771, San miguel,HYUNDAI,GRAND I10,GRAND I10 1.2 AI3 HB PLUS FL AT,2025,31097,CityCar,Automatico,Gasolina,TSXD33,GRIS GRAFITO,11680000,www.pompeyo.cl/usados/TSXD33
SEMINUEVOS PLAZA OESTE,Av. Am�rico Vespucio 2451,Cerrillos,OPEL,GRANDLAND,GRANDLAND 1.2T ULTIMATE AT,2024,39150,Suv,Automatico,Gasolina,TBXB15,BLANCO BLANC BANQUISE,19780000,www.pompeyo.cl/usados/TBXB15
SEMINUEVOS BILBAO,Av. Francisco Bilbao 5318,Las condes,OPEL,GRANDLAND X,GRANDLAND X EDITION 1.6T AT,2021,38179,Suv,Automatico,Gasolina,PSVP72,Gris Plata Quartz Grey,15180000,www.pompeyo.cl/usados/PSVP72
SEMINUEVOS BILBAO,Av. Francisco Bilbao 5318,Las condes,OPEL,GRANDLAND X,Grandland GS Gasolina 130HP AT,2025,24577,Suv,Automatico,Gasolina,TSWY64,NEGRO PERLA NERA,18180000,www.pompeyo.cl/usados/TSWY64
SEMINUEVOS MOVICENTER,Am�rico Vespucio Norte 1155,Huechuraba,OPEL,GRANDLAND X,Grandland GS Gasolina 130HP MT,2025,5518,Suv,Mecanico,Gasolina,TSWY66,NEGRO PERLA NERA,18680000,www.pompeyo.cl/usados/TSWY66
