Sucursal,Ubicación,Comuna,Marca,Modelo,Versión,Año,Kilometraje,Placa Patente,Color Exterior,Precio Lista,Link
SEMINUEVOS BILBAO,Av. Francisco Bilbao 5318,Las condes,DFSK,SUV 500,500 1.5 Comfort + LAM.,2023,45,STHW53,GRIS OSCURO,9180000,www.pompeyo.cl/usados/STHW53
SEMINUEVOS IRARRAZAVAL,Av Irarrazaval 1330 , Ñuñoa,OPEL,GRANDLAND X,GRANDLAND LIMITED 1.5 TD AT8,2021,80459,PYBG92,ROJO DARK RUBY RED,16280000,www.pompeyo.cl/usados/PYBG92
SEMINUEVOS MAIPU,Camino a Melipilla 11585,Maipu,PEUGEOT,Landtrek,LANDTREK ACTIVE Diesel 180hp 4X4 MT,2025,36708,TSWY29,GRIS ALUMINIUM,23180000,www.pompeyo.cl/usados/TSWY29
SEMINUEVOS MAIPU,Camino a Melipilla 11585,Maipu,JMC,VIGUS,VIGRUS 2.0 PRO DIESEL AT,2024,57288,TGDD52,PLATEADO,16280000,www.pompeyo.cl/usados/TGDD52
SEMINUEVOS BILBAO,Av. Francisco Bilbao 5318,Las condes,PEUGEOT,2008,2008 1.2 ALLURE PACK PURETECH 130 MT,2023,31072,SYJH10,ROJO ELIXIR,13180000,www.pompeyo.cl/usados/SYJH10
SEMINUEVOS MAIPU,Camino a Melipilla 11585,Maipu,OPEL,MOKKA,MOKKA  1.2 ELEGANCE MT,2022,57487,SCTP51,BLANCO JADE,11980000,www.pompeyo.cl/usados/SCTP51
SEMINUEVOS IRARRAZAVAL,Av Irarrazaval 1330 , Ñuñoa,MG,HS,NEW MG HS 1.5T DCT TROPHY,2024,11278,TLBB25,AZUL METALIZADO,13180000,www.pompeyo.cl/usados/TLBB25
SEMINUEVOS MOVICENTER,Américo Vespucio Norte 1155,Huechuraba,KIA MOTORS,SELTOS,SELTOS EX 1.4L 7DCT TURBO-GDI,2025,24240,TTFC75,ROJO ESCARLATA,18580000,www.pompeyo.cl/usados/TTFC75
SEMINUEVOS PLAZA OESTE,Av. Américo Vespucio 2451,Cerrillos,KIA MOTORS,SELTOS,SELTOS EX 1.4L 7DCT TURBO-GDI,2025,14599,TTFC40,AZUL TURQUESA,20980000,www.pompeyo.cl/usados/TTFC40
AUTOSHOPPING,av. Departamental 4500,Macul,OPEL,CORSA,Corsa MCA Edition Gasolina 100HP AT,2025,17569,TSWY44,ROJO PEPERONCINO,14480000,www.pompeyo.cl/usados/TSWY44
SEMINUEVOS PLAZA OESTE,Av. Américo Vespucio 2451,Cerrillos,PEUGEOT,308,308 1.2 ALLURE PACK PURETECH 130HP AT,2023,61050,SKCS26,BLANCO NACARADO,15180000,www.pompeyo.cl/usados/SKCS26
SEMINUEVOS PLAZA OESTE,Av. Américo Vespucio 2451,Cerrillos,FIAT,PULSE,PULSE 1.0 IMPETUS CVT AT,2023,34204,SSPJ28,NEGRO VULCANO,13380000,www.pompeyo.cl/usados/SSPJ28
SEMINUEVOS MOVICENTER,Américo Vespucio Norte 1155,Huechuraba,JEEP,RENEGADE,RENEGADE 1.8 SPORT LX MT,2022,29129,RRTH94,NEGRO OPACO,13180000,www.pompeyo.cl/usados/RRTH94
SEMINUEVOS MAIPU,Camino a Melipilla 11585,Maipu,MG,MG3,MG3 1.5L MT COM,2023,21167,SVWF61,AMARILLO,8580000,www.pompeyo.cl/usados/SVWF61
